Time Slot,Distance(m),FreeSpacePathLossWithoutAntennas(dB),Power(dBm),PathGain(dB),TransmissionLoss(dB),PathLoss(dB),ExcessPathLoss(dB),Phase(deg),FreeSpacePathLoss(dB),MeanTimeOfArrival(sec)
257,594.18,93.9534,-98.8627,-105.813,105.813,105.813,-2.70517,156.325,108.518,2.01E-06
258,594.633,93.96,-97.3046,-104.255,104.255,104.255,-3.84982,-145.851,108.105,2.00E-06
259,595.081,93.9666,-97.4534,-104.404,104.404,104.404,-3.30985,-133.256,107.714,2.00E-06
260,595.525,93.973,-100.852,-107.802,107.802,107.802,0.459399,-115.587,107.343,2.00E-06
261,595.964,93.9794,-99.6069,-106.557,106.557,106.557,-0.43346,-95.837,106.991,2.00E-06
262,596.398,93.9858,-103.507,-110.457,110.457,110.457,3.80221,-61.363,106.655,2.00E-06
263,596.827,93.992,-102.485,-109.435,109.435,109.435,3.10035,-2.63509,106.335,2.00E-06
264,691.448,95.2709,-141.154,-148.104,148.104,148.104,42.9273,-67.4548,105.177,2.86E-06
265,597.253,93.9982,-107.468,-114.419,114.419,114.419,8.38994,31.85,106.029,2.05E-06
266,597.673,94.0043,-105.25,-112.2,112.2,112.2,6.46476,89.2645,105.735,2.05E-06
267,598.09,94.0104,-109.273,-116.224,116.224,116.224,10.7699,145.257,105.454,2.05E-06
268,598.501,94.0164,-106.664,-113.615,113.615,113.615,8.43183,-121.32,105.183,2.11E-06
269,598.909,94.0223,-116.152,-123.102,123.102,123.102,18.1809,-51.7969,104.922,2.19E-06
270,599.313,94.0281,-107.614,-114.564,114.564,114.564,9.89467,33.4199,104.67,2.27E-06
271,599.711,94.0339,-117.115,-124.065,124.065,124.065,19.6391,130.498,104.426,2.33E-06
272,600.107,94.0396,-108.266,-115.216,115.216,115.216,11.0254,-134.427,104.191,2.42E-06
273,600.498,94.0453,-120.232,-127.182,127.182,127.182,23.2196,-61.5878,103.963,2.50E-06
274,600.884,94.0509,-125.227,-132.178,132.178,132.178,28.4366,89.1393,103.741,2.58E-06
275,691.59,95.2726,-129.495,-136.445,136.445,136.445,31.1213,-74.8982,105.324,2.85E-06
276,601.267,94.0564,-112.587,-119.537,119.537,119.537,16.011,-164.375,103.526,2.65E-06
277,601.646,94.0619,-111.97,-118.92,118.92,118.92,15.6025,-174.51,103.318,2.70E-06
278,602.021,94.0673,-120.824,-127.774,127.774,127.774,24.6594,-64.2943,103.115,2.76E-06
279,602.393,94.0727,-115.118,-122.068,122.068,122.068,19.1504,-115.517,102.917,2.81E-06
280,602.76,94.078,-108.869,-115.82,115.82,115.82,13.0946,-49.2291,102.725,2.79E-06
281,603.124,94.0832,-114.697,-121.648,121.648,121.648,19.1093,60.2803,102.538,2.86E-06
282,603.483,94.0884,-111.503,-118.454,118.454,118.454,16.0978,98.0865,102.356,2.78E-06
283,603.84,94.0935,-111.279,-118.229,118.229,118.229,16.0507,-82.3368,102.178,2.82E-06
284,604.193,94.0986,-116.103,-123.054,123.054,123.054,21.0486,84.4213,102.005,2.59E-06
285,604.542,94.1036,-115.61,-122.561,122.561,122.561,20.7151,-94.5767,101.845,2.62E-06
286,691.724,95.2743,-123.098,-130.048,130.048,130.048,24.5917,-48.4916,105.457,2.84E-06
287,604.888,94.1086,-113.802,-120.752,120.752,120.752,19.0548,152.086,101.697,2.64E-06
288,605.23,94.1135,-108.749,-115.699,115.699,115.699,14.1459,66.5556,101.553,2.62E-06
289,605.569,94.1184,-108.53,-115.481,115.481,115.481,14.0677,-61.9468,101.413,2.49E-06
290,605.904,94.1232,-109.939,-116.89,116.89,116.89,15.6126,-102.839,101.277,2.48E-06
291,606.237,94.128,-120.316,-127.266,127.266,127.266,26.1214,175.358,101.145,2.46E-06
292,606.566,94.1327,-118.913,-125.864,125.864,125.864,24.8469,-48.8763,101.017,2.43E-06
293,606.891,94.1373,-113.519,-120.469,120.469,120.469,19.5774,-43.6638,100.892,2.41E-06
294,607.214,94.1419,-110.194,-117.144,117.144,117.144,16.3737,-14.1799,100.771,2.38E-06
295,607.534,94.1465,-107.827,-114.778,114.778,114.778,14.1249,-48.8187,100.653,2.39E-06
296,607.85,94.151,-117.974,-124.924,124.924,124.924,24.3855,-147.821,100.538,2.40E-06
297,691.851,95.2759,-120.862,-127.812,127.812,127.812,22.236,150.335,105.576,2.77E-06
298,608.163,94.1555,-109.788,-116.738,116.738,116.738,16.3106,113.063,100.427,2.57E-06
299,608.474,94.16,-114.197,-121.148,121.148,121.148,20.8282,130.289,100.319,2.59E-06
300,608.781,94.1643,-118.388,-125.338,125.338,125.338,25.1241,132.397,100.214,2.59E-06
301,609.086,94.1687,-113.682,-120.633,120.633,120.633,20.5201,12.7808,100.112,2.62E-06
302,609.388,94.173,-123.67,-130.621,130.621,130.621,30.6073,-14.8158,100.013,2.64E-06
303,609.687,94.1773,-114.114,-121.064,121.064,121.064,21.1441,139.059,99.9199,2.99E-06
304,609.982,94.1815,-112.288,-119.238,119.238,119.238,19.3789,103.989,99.8591,2.92E-06
305,610.276,94.1857,-110.826,-117.776,117.776,117.776,17.9765,6.7715,99.7995,2.91E-06
306,610.567,94.1898,-114.094,-121.044,121.044,121.044,21.3026,98.9296,99.7414,2.88E-06
307,610.855,94.1939,-113.922,-120.873,120.873,120.873,21.188,-171.734,99.6845,2.79E-06
308,691.97,95.2774,-120.152,-127.102,127.102,127.102,21.4196,-56.8339,105.683,2.77E-06
309,611.14,94.198,-112.63,-119.58,119.58,119.58,19.9514,-107.302,99.6288,2.84E-06
310,611.423,94.202,-115.773,-122.723,122.723,122.723,23.1486,-159.206,99.5744,2.76E-06
311,611.704,94.206,-109.052,-116.002,116.002,116.002,16.4814,-84.9963,99.5211,2.81E-06
312,611.982,94.2099,-111.402,-118.352,118.352,118.352,18.8831,-51.045,99.469,2.73E-06
313,612.257,94.2138,-112.294,-119.244,119.244,119.244,19.8262,-19.5478,99.4179,2.69E-06
314,612.53,94.2177,-120.51,-127.46,127.46,127.46,28.0923,19.0352,99.3679,2.64E-06
315,612.801,94.2215,-109.877,-116.828,116.828,116.828,17.5087,110.243,99.3189,2.68E-06
316,613.069,94.2253,-110.532,-117.482,117.482,117.482,18.211,133.31,99.2709,2.69E-06
317,613.335,94.2291,-119.403,-126.354,126.354,126.354,27.13,-52.1388,99.2238,2.68E-06
318,613.599,94.2328,-107.631,-114.582,114.582,114.582,15.4038,44.8391,99.1777,2.61E-06
319,692.082,95.2788,-124.122,-131.073,131.073,131.073,25.2968,151.674,105.776,2.70E-06
320,613.86,94.2365,-108.458,-115.408,115.408,115.408,16.2755,168.887,99.1325,2.77E-06
321,614.119,94.2402,-109.775,-116.725,116.725,116.725,17.6368,-58.2507,99.088,2.81E-06
322,614.376,94.2439,-106.224,-113.174,113.174,113.174,14.1293,58.9973,99.0445,2.86E-06
323,614.631,94.2475,-108.215,-115.165,115.165,115.165,16.1632,177.325,99.0018,2.94E-06
324,614.884,94.251,-109.542,-116.492,116.492,116.492,17.5325,12.1142,98.9598,2.98E-06
325,615.135,94.2546,-109.592,-116.543,116.543,116.543,17.6241,-170.393,98.9185,3.00E-06
326,615.384,94.2581,-108.458,-115.408,115.408,115.408,16.5302,13.2226,98.8781,3.07E-06
327,615.631,94.2616,-110.529,-117.479,117.479,117.479,18.6412,-100.356,98.8383,3.10E-06
328,615.876,94.265,-103.707,-110.658,110.658,110.658,11.8584,109.629,98.7993,3.11E-06
329,616.119,94.2685,-110.835,-117.786,117.786,117.786,19.0246,8.32316,98.761,3.13E-06
330,692.185,95.2801,-120.614,-127.565,127.565,127.565,21.7102,42.935,105.855,2.72E-06
331,616.36,94.2719,-107.531,-114.482,114.482,114.482,15.7581,-129.008,98.7234,3.15E-06
332,616.599,94.2752,-114.164,-121.114,121.114,121.114,22.4279,149.108,98.6864,3.17E-06
333,616.836,94.2786,-109.213,-116.164,116.164,116.164,17.5134,59.1486,98.6502,3.17E-06
334,617.071,94.2819,-110.42,-117.37,117.37,117.37,18.7558,-38.5746,98.6146,3.19E-06
335,617.305,94.2852,-113.579,-120.53,120.53,120.53,21.9499,-125.633,98.5796,3.20E-06
336,617.537,94.2884,-111.641,-118.591,118.591,118.591,20.0459,-136.963,98.5453,3.21E-06
337,617.767,94.2917,-115.215,-122.165,122.165,122.165,23.6531,175.844,98.5117,3.20E-06
338,617.995,94.2949,-115.207,-122.158,122.158,122.158,23.6791,69.1253,98.4787,3.01E-06
339,618.221,94.2981,-111.212,-118.163,118.163,118.163,19.7162,108.214,98.4463,2.99E-06
340,618.446,94.3012,-115.323,-122.273,122.273,122.273,23.8584,42.9793,98.4146,2.97E-06
341,692.281,95.2813,-139.093,-146.043,146.043,146.043,40.126,-31.7322,105.917,2.77E-06
342,618.67,94.3044,-116.978,-123.928,123.928,123.928,25.5447,131.84,98.3835,2.97E-06
343,618.891,94.3075,-126.144,-133.094,133.094,133.094,34.741,-165.146,98.353,2.96E-06
344,619.111,94.3106,-116.898,-123.848,123.848,123.848,25.5249,-67.885,98.3232,3.56E-06
345,619.33,94.3136,-105.627,-112.578,112.578,112.578,14.2837,100.793,98.2939,3.61E-06
346,619.547,94.3167,-113.83,-120.78,120.78,120.78,22.515,-74.4618,98.2652,3.59E-06
347,619.762,94.3197,-106.97,-113.921,113.921,113.921,15.6833,-178.64,98.2373,3.64E-06
348,619.976,94.3227,-106.736,-113.686,113.686,113.686,15.4765,44.4309,98.2098,3.65E-06
349,620.188,94.3257,-106.355,-113.305,113.305,113.305,15.1223,-39.5141,98.183,3.64E-06
350,620.399,94.3286,-107.035,-113.985,113.985,113.985,15.8288,-145.476,98.1567,3.64E-06
351,620.609,94.3316,-116.62,-123.57,123.57,123.57,25.4391,-143.053,98.131,3.71E-06
352,692.368,95.2824,-127.064,-134.014,134.014,134.014,28.0516,-144.345,105.963,2.60E-06
353,620.817,94.3345,-107.016,-113.966,113.966,113.966,15.8602,93.1449,98.1059,3.63E-06
354,621.023,94.3374,-125.342,-132.292,132.292,132.292,34.2104,117.702,98.0814,3.61E-06
355,621.229,94.3402,-107.728,-114.678,114.678,114.678,16.621,-28.7127,98.0575,3.59E-06
356,621.432,94.3431,-113.683,-120.633,120.633,120.633,22.599,-65.9219,98.0341,3.57E-06
357,621.635,94.3459,-109.902,-116.852,116.852,116.852,18.8412,-162.51,98.0112,3.13E-06
358,621.836,94.3487,-115.516,-122.466,122.466,122.466,24.4772,-0.40024,97.9889,3.00E-06
359,622.035,94.3515,-116.508,-123.459,123.459,123.459,25.4916,-157.337,97.9671,2.88E-06
360,622.234,94.3543,-118.413,-125.363,125.363,125.363,27.4171,-39.1253,97.9458,2.76E-06
361,622.431,94.357,-119.206,-126.156,126.156,126.156,28.2308,-122.971,97.9252,2.68E-06
362,622.627,94.3598,-119.506,-126.457,126.457,126.457,28.5518,-179.821,97.905,2.61E-06
363,692.448,95.2834,-118.562,-125.512,125.512,125.512,19.4902,139.898,106.022,2.65E-06
364,622.821,94.3625,-116.859,-123.809,123.809,123.809,25.9236,-67.2004,97.8853,2.45E-06
365,623.014,94.3652,-114.485,-121.436,121.436,121.436,23.5697,-67.2616,97.8661,2.45E-06
366,623.206,94.3679,-120.347,-127.298,127.298,127.298,29.4503,-22.2962,97.8474,2.41E-06
367,623.397,94.3705,-126.068,-133.018,133.018,133.018,35.1888,-132.772,97.8292,2.39E-06
368,623.586,94.3732,-108.903,-115.853,115.853,115.853,18.0415,65.9897,97.8115,2.38E-06
369,623.775,94.3758,-108.687,-115.637,115.637,115.637,17.8427,-85.1382,97.7943,2.36E-06
370,623.962,94.3784,-115.522,-122.472,122.472,122.472,24.6946,61.1521,97.7775,2.35E-06
371,624.148,94.381,-108.096,-115.046,115.046,115.046,17.2849,-116.174,97.7612,2.34E-06
372,624.332,94.3835,-111.09,-118.04,118.04,118.04,20.295,132.479,97.7453,2.34E-06
373,624.516,94.3861,-114.292,-121.242,121.242,121.242,23.512,114.871,97.7299,2.33E-06
374,692.518,95.2843,-121.507,-128.457,128.457,128.457,22.3347,126.656,106.122,2.65E-06
375,624.698,94.3886,-113.324,-120.274,120.274,120.274,22.5592,27.9816,97.7151,2.32E-06
376,624.879,94.3911,-110.231,-117.181,117.181,117.181,19.4809,3.41575,97.7005,2.32E-06
377,625.059,94.3936,-111.977,-118.927,118.927,118.927,21.2409,-82.9898,97.6865,2.36E-06
378,625.238,94.3961,-110.534,-117.484,117.484,117.484,19.8116,-133.733,97.6728,2.36E-06
379,625.415,94.3986,-110.809,-117.759,117.759,117.759,20.0922,152.436,97.6671,2.33E-06
380,625.591,94.401,-115.463,-122.413,122.413,122.413,24.7488,93.6512,97.664,2.33E-06
381,625.766,94.4035,-116.826,-123.776,123.776,123.776,26.1146,78.8847,97.6614,2.33E-06
382,625.94,94.4059,-116.014,-122.965,122.965,122.965,25.3056,70.2592,97.659,2.33E-06
383,626.113,94.4083,-114.469,-121.419,121.419,121.419,23.762,-11.3542,97.657,2.32E-06
384,626.285,94.4107,-121.564,-128.514,128.514,128.514,30.859,18.2758,97.6554,2.32E-06
385,692.58,95.2851,-117.985,-124.935,124.935,124.935,18.7138,-66.6315,106.221,2.66E-06
386,626.456,94.413,-112.788,-119.739,119.739,119.739,22.0847,-26.849,97.654,2.32E-06
387,626.625,94.4154,-119.744,-126.695,126.695,126.695,29.0415,-73.6362,97.653,2.32E-06
388,626.794,94.4177,-112.74,-119.69,119.69,119.69,22.0381,-52.2776,97.6524,2.32E-06
389,626.961,94.4201,-119.102,-126.053,126.053,126.053,28.4004,-41.1164,97.6521,2.32E-06
390,627.128,94.4224,-118.543,-125.494,125.494,125.494,27.8415,-88.0885,97.6522,2.32E-06
391,627.293,94.4246,-110.649,-117.599,117.599,117.599,19.9465,34.5488,97.6526,2.32E-06
392,627.457,94.4269,-125.855,-132.805,132.805,132.805,35.1519,11.1853,97.6533,2.31E-06
393,627.62,94.4292,-106.945,-113.895,113.895,113.895,16.2408,-160.088,97.6544,2.32E-06
394,627.782,94.4314,-110.891,-117.842,117.842,117.842,20.1859,165.947,97.6559,2.33E-06
395,627.942,94.4336,-108.013,-114.964,114.964,114.964,17.3058,-162.485,97.6577,2.33E-06
396,692.633,95.2857,-139.747,-146.698,146.698,146.698,40.3791,-83.5663,106.319,2.64E-06
397,628.102,94.4358,-111.76,-118.71,118.71,118.71,21.0504,-169.77,97.6598,2.33E-06
398,628.26,94.438,-112.595,-119.545,119.545,119.545,21.883,-132.657,97.6623,2.34E-06
399,628.417,94.4402,-112.546,-119.497,119.497,119.497,21.8316,-107.331,97.6652,2.34E-06
400,628.573,94.4424,-123.214,-130.164,130.164,130.164,32.4956,-110.289,97.6684,2.34E-06
401,628.728,94.4445,-125.621,-132.572,132.572,132.572,34.8996,-109.61,97.672,2.35E-06
402,628.882,94.4466,-125.105,-132.056,132.056,132.056,34.3797,-133.141,97.6759,2.33E-06
403,629.035,94.4487,-115.985,-122.935,122.935,122.935,25.2548,-130.153,97.6802,2.33E-06
404,629.186,94.4508,-115.756,-122.706,122.706,122.706,25.0212,-79.427,97.6849,2.34E-06
405,629.336,94.4529,-113.389,-120.339,120.339,120.339,22.6495,-28.3138,97.6899,2.34E-06
406,629.485,94.455,-118.543,-125.493,125.493,125.493,27.7982,30.8653,97.6953,2.35E-06
407,692.677,95.2863,-120.921,-127.871,127.871,127.871,21.455,-104.937,106.416,2.60E-06
408,629.633,94.457,-111.679,-118.629,118.629,118.629,20.9279,99.8229,97.701,2.35E-06
409,629.78,94.459,-124.905,-131.855,131.855,131.855,34.148,154.533,97.7072,2.36E-06
410,629.925,94.461,-116.149,-123.099,123.099,123.099,25.3857,-141.394,97.7137,2.37E-06
411,630.07,94.463,-132.638,-139.588,139.588,139.588,41.8675,42.5019,97.7206,2.38E-06
412,630.213,94.465,-131.072,-138.023,138.023,138.023,40.295,-156.666,97.7279,2.39E-06
413,630.355,94.467,-123.201,-130.151,130.151,130.151,32.4155,-119.648,97.7355,2.41E-06
414,630.495,94.4689,-121.191,-128.142,128.142,128.142,30.3983,-19.1805,97.7436,2.43E-06
415,630.635,94.4708,-121.512,-128.462,128.462,128.462,30.7105,29.8739,97.752,2.44E-06
416,630.773,94.4727,-114.385,-121.335,121.335,121.335,23.5743,129.06,97.7608,2.43E-06
417,630.909,94.4746,-117.562,-124.512,124.512,124.512,26.7419,-154.211,97.77,2.42E-06
418,692.713,95.2867,-125.03,-131.98,131.98,131.98,25.458,-31.9199,106.522,2.62E-06
419,631.045,94.4765,-118.626,-125.576,125.576,125.576,27.7966,-49.6473,97.7796,2.42E-06
420,631.179,94.4783,-123.458,-130.409,130.409,130.409,32.6191,-59.6871,97.7897,2.42E-06
421,631.312,94.4801,-123.604,-130.554,130.554,130.554,32.7542,105.345,97.8001,2.42E-06
422,631.443,94.482,-118.767,-125.718,125.718,125.718,27.9069,156.738,97.8109,2.46E-06
423,631.574,94.4837,-118.882,-125.833,125.833,125.833,28.0105,30.4597,97.8222,2.47E-06
424,631.702,94.4855,-114.355,-121.305,121.305,121.305,23.4711,-34.7299,97.8339,2.53E-06
425,631.83,94.4873,-114.479,-121.43,121.43,121.43,23.5838,-107.426,97.846,2.56E-06
426,631.955,94.489,-112.553,-119.503,119.503,119.503,21.6445,176.197,97.8585,2.57E-06
427,632.08,94.4907,-107.557,-114.508,114.508,114.508,16.6364,143.962,97.8715,2.65E-06
428,632.203,94.4924,-112.495,-119.445,119.445,119.445,21.5603,66.4442,97.8849,2.67E-06
429,692.738,95.287,-132.617,-139.567,139.567,139.567,32.9472,6.91782,106.62,2.77E-06
430,632.325,94.4941,-110.585,-117.535,117.535,117.535,19.6364,69.751,97.8987,2.70E-06
431,632.445,94.4957,-143.46,-150.41,150.41,150.41,52.4974,173.769,97.913,2.67E-06
432,632.563,94.4974,-107.746,-114.697,114.697,114.697,16.7688,-64.0227,97.9278,2.71E-06
433,632.68,94.499,-109.973,-116.924,116.924,116.924,18.9806,-93.0169,97.943,2.71E-06
434,632.796,94.5006,-107.104,-114.054,114.054,114.054,16.0956,-111.948,97.9587,2.71E-06
435,632.91,94.5021,-110.409,-117.359,117.359,117.359,19.3841,-121.739,97.9749,2.71E-06
436,633.022,94.5037,-114.473,-121.424,121.424,121.424,23.4322,33.913,97.9916,2.65E-06
437,633.133,94.5052,-110.999,-117.949,117.949,117.949,19.9405,-57.2386,98.0088,2.71E-06
438,633.242,94.5067,-110.575,-117.525,117.525,117.525,19.4987,31.6353,98.0265,2.68E-06
439,633.35,94.5082,-110.833,-117.783,117.783,117.783,19.7384,-69.6491,98.0447,2.59E-06
440,692.755,95.2873,-143.568,-150.518,150.518,150.518,43.8104,-166.391,106.708,2.67E-06
441,633.455,94.5096,-113.321,-120.272,120.272,120.272,22.2082,-86.5769,98.0635,2.58E-06
442,633.559,94.511,-111.191,-118.141,118.141,118.141,20.0586,-9.47224,98.0828,2.56E-06
443,633.661,94.5124,-114.319,-121.27,121.27,121.27,23.1672,-13.9923,98.1026,2.60E-06
444,633.762,94.5138,-121.707,-128.658,128.658,128.658,30.5348,30.6617,98.123,2.35E-06
445,633.86,94.5152,-114.472,-121.423,121.423,121.423,23.2788,-116.15,98.144,2.34E-06
446,633.957,94.5165,-114.96,-121.91,121.91,121.91,23.7445,174.269,98.1656,2.33E-06
447,634.052,94.5178,-117.211,-124.161,124.161,124.161,25.9736,-74.5218,98.1878,2.59E-06
448,634.145,94.5191,-122.859,-129.809,129.809,129.809,31.5984,29.4595,98.2106,3.01E-06
449,634.236,94.5203,-119.053,-126.004,126.004,126.004,27.7696,23.8547,98.2341,2.39E-06
450,634.325,94.5215,-130.088,-137.039,137.039,137.039,38.7806,119.531,98.2583,2.55E-06
451,692.762,95.2873,-134.912,-141.862,141.862,141.862,34.8481,151.137,107.014,2.78E-06
452,634.412,94.5227,-121.769,-128.72,128.72,128.72,30.4365,-112.485,98.2831,2.36E-06
453,634.497,94.5239,-116.733,-123.683,123.683,123.683,25.3746,-35.2913,98.3086,2.37E-06
454,634.58,94.525,-124.553,-131.503,131.503,131.503,33.1686,-23.7785,98.3349,2.40E-06
455,634.661,94.5261,-118.949,-125.899,125.899,125.899,27.5373,164.461,98.3619,2.32E-06
456,634.74,94.5272,-120.529,-127.479,127.479,127.479,29.0896,82.1382,98.3896,2.49E-06
457,634.817,94.5283,-116.844,-123.794,123.794,123.794,25.3762,-15.4864,98.4182,2.50E-06
458,634.891,94.5293,-125.822,-132.772,132.772,132.772,34.3243,-77.7639,98.4476,2.24E-06
459,634.963,94.5303,-114.318,-121.268,121.268,121.268,22.7905,147.613,98.4777,2.24E-06
460,635.033,94.5312,-110.576,-117.526,117.526,117.526,19.0174,64.3274,98.5088,2.51E-06
461,635.1,94.5321,-118.958,-125.908,125.908,125.908,27.1908,101.649,98.7174,2.50E-06
462,692.759,95.2873,-124.169,-131.12,131.12,131.12,23.6339,-65.2287,107.486,2.82E-06
463,635.165,94.533,-116.207,-123.157,123.157,123.157,20.9094,136.102,102.248,2.46E-06
464,635.224,94.5338,-127.279,-134.23,134.23,134.23,31.1094,38.6531,103.12,2.44E-06
465,635.275,94.5345,-120.9,-127.85,127.85,127.85,25.1069,87.7871,102.743,2.44E-06
466,635.32,94.5351,-125.069,-132.019,132.019,132.019,29.6251,-30.874,102.394,2.42E-06
467,635.358,94.5357,-119.802,-126.753,126.753,126.753,24.7113,83.7331,102.041,2.43E-06
468,635.39,94.5361,-117.324,-124.274,124.274,124.274,22.5495,77.9536,101.724,2.46E-06
469,635.417,94.5365,-159.01,-165.96,165.96,165.96,64.5267,74.9426,101.433,2.44E-06
470,635.437,94.5367,-114.281,-121.231,121.231,121.231,20.068,-179.192,101.163,2.44E-06
471,635.452,94.537,-119.634,-126.584,126.584,126.584,25.6696,-115.121,100.914,2.44E-06
472,635.462,94.5371,-118.4,-125.351,125.351,125.351,24.6646,22.566,100.686,2.43E-06
473,692.747,95.2872,-136.316,-143.267,143.267,143.267,35.312,113.346,107.955,2.83E-06
474,635.468,94.5372,-116.439,-123.39,123.39,123.39,22.8931,68.5125,100.497,2.44E-06
475,635.468,94.5372,-127.837,-134.788,134.788,134.788,34.4616,150.211,100.326,2.45E-06
476,635.464,94.5371,-114.207,-121.158,121.158,121.158,21.0214,-44.1979,100.136,2.47E-06
477,635.457,94.537,-117.439,-124.39,124.39,124.39,24.4381,53.6475,99.9517,2.46E-06
478,635.445,94.5369,-113.925,-120.875,120.875,120.875,21.1026,83.6098,99.7726,2.48E-06
479,635.429,94.5366,-128.274,-135.224,135.224,135.224,35.6256,71.7825,99.5988,2.48E-06
480,635.41,94.5364,-120.263,-127.213,127.213,127.213,27.7834,98.9603,99.43,2.48E-06
481,635.388,94.5361,-117.391,-124.342,124.342,124.342,25.0755,152.775,99.2662,2.51E-06
482,635.363,94.5357,-124.284,-131.235,131.235,131.235,32.1277,-97.6226,99.1071,2.51E-06
483,635.335,94.5353,-115.383,-122.333,122.333,122.333,23.3805,-62.6108,98.9524,2.51E-06
484,692.725,95.2869,-133.212,-140.162,140.162,140.162,31.7413,0.986952,108.421,2.91E-06
485,635.304,94.5349,-123.922,-130.872,130.872,130.872,32.0692,-32.4277,98.8031,2.51E-06
486,635.27,94.5345,-120.367,-127.317,127.317,127.317,28.6407,159.111,98.6767,2.51E-06
487,635.234,94.534,-121.148,-128.098,128.098,128.098,29.5421,130.575,98.5558,2.50E-06
488,635.196,94.5335,-117.562,-124.513,124.513,124.513,26.0727,-17.271,98.44,2.50E-06
489,635.156,94.5329,-119.151,-126.101,126.101,126.101,27.7723,-40.2562,98.3289,2.50E-06
490,635.114,94.5323,-115.187,-122.137,122.137,122.137,23.915,150.07,98.2219,2.50E-06
491,635.07,94.5317,-119.337,-126.288,126.288,126.288,28.1689,-72.4191,98.1188,2.50E-06
492,635.025,94.5311,-111.367,-118.317,118.317,118.317,20.298,75.4763,98.019,2.49E-06
493,634.978,94.5305,-112.613,-119.564,119.564,119.564,21.6412,179.322,97.9225,2.50E-06
494,634.929,94.5298,-110.526,-117.477,117.477,117.477,19.6479,-50.7709,97.8289,2.49E-06
495,692.693,95.2865,-127.503,-134.453,134.453,134.453,25.5713,176.799,108.882,2.89E-06
496,634.88,94.5291,-113.045,-119.996,119.996,119.996,22.2578,101.375,97.738,2.49E-06
497,634.83,94.5284,-114.929,-121.879,121.879,121.879,24.2286,-102.03,97.6507,2.49E-06
498,634.778,94.5277,-106.301,-113.251,113.251,113.251,15.6389,99.7817,97.6123,2.49E-06
499,634.726,94.527,-109.455,-116.406,116.406,116.406,18.8311,-122.253,97.5744,2.49E-06
500,634.673,94.5263,-109.693,-116.644,116.644,116.644,19.1065,83.0903,97.5371,2.50E-06
501,634.619,94.5256,-113.439,-120.39,120.39,120.39,22.8896,-89.811,97.5002,2.50E-06
502,634.565,94.5248,-111.525,-118.475,118.475,118.475,21.0116,108.497,97.4638,2.50E-06
503,634.511,94.5241,-105.742,-112.692,112.692,112.692,15.2643,-87.6777,97.4277,2.50E-06
504,634.456,94.5233,-119.851,-126.802,126.802,126.802,29.4097,-3.88882,97.392,2.49E-06
505,634.401,94.5226,-109.503,-116.453,116.453,116.453,19.0963,-89.6575,97.3566,2.50E-06
506,692.651,95.2859,-139.638,-146.589,146.589,146.589,37.252,114.036,109.337,2.77E-06
507,634.346,94.5218,-116.913,-123.863,123.863,123.863,26.542,62.3395,97.3215,2.50E-06
508,634.292,94.5211,-111.603,-118.553,118.553,118.553,21.2668,-59.3835,97.2866,2.50E-06
509,634.237,94.5203,-118.516,-125.466,125.466,125.466,28.214,30.8346,97.2519,2.50E-06
510,634.182,94.5196,-108.615,-115.565,115.565,115.565,18.3476,-25.6937,97.2175,2.49E-06
511,634.128,94.5188,-127.009,-133.959,133.959,133.959,36.7756,-147.861,97.1834,2.50E-06
512,634.074,94.5181,-111.398,-118.348,118.348,118.348,21.1987,-122.121,97.1495,2.55E-06
513,634.021,94.5174,-107.593,-114.544,114.544,114.544,17.4098,52.3973,97.134,2.53E-06
514,633.968,94.5166,-116.531,-123.481,123.481,123.481,26.3375,-44.672,97.1435,2.62E-06
515,633.916,94.5159,-112.254,-119.205,119.205,119.205,22.0524,86.6025,97.1521,2.53E-06
516,633.865,94.5152,-126.213,-133.163,133.163,133.163,36.003,-122.27,97.16,2.53E-06
517,692.599,95.2853,-137.215,-144.166,144.166,144.166,34.3832,-37.3314,109.782,2.68E-06
518,633.814,94.5145,-112.21,-119.161,119.161,119.161,21.9935,167.803,97.1672,2.60E-06
519,633.765,94.5138,-112.525,-119.475,119.475,119.475,22.3014,163.98,97.1736,2.52E-06
520,633.716,94.5132,-125.583,-132.533,132.533,132.533,35.3535,27.1793,97.1793,2.56E-06
521,633.668,94.5125,-106.955,-113.905,113.905,113.905,16.7209,-156.362,97.1843,2.64E-06
522,633.621,94.5119,-119.703,-126.654,126.654,126.654,29.4652,47.7114,97.1886,2.66E-06
523,633.576,94.5113,-110.467,-117.417,117.417,117.417,20.2248,103.842,97.1922,2.57E-06
524,633.532,94.5106,-104.003,-110.953,110.953,110.953,13.758,-173.977,97.1951,2.48E-06
525,633.489,94.5101,-107.021,-113.971,113.971,113.971,16.7735,-173.535,97.1974,2.44E-06
526,633.447,94.5095,-109.952,-116.903,116.903,116.903,19.7035,-120.547,97.199,2.47E-06
527,633.407,94.5089,-110.732,-117.682,117.682,117.682,20.4821,-131.414,97.2001,2.43E-06
528,692.536,95.2845,-130.805,-137.756,137.756,137.756,27.5397,-68.3719,110.216,2.67E-06
529,633.368,94.5084,-109.876,-116.826,116.826,116.826,19.6258,158.499,97.2004,2.46E-06
530,633.331,94.5079,-109.633,-116.583,116.583,116.583,19.3832,106.253,97.2002,2.41E-06
531,633.295,94.5074,-117.176,-124.126,124.126,124.126,26.9267,174.463,97.1994,2.38E-06
